번호,야영장명,주소,화로대,부대시설,주변이용가능시설,테마환경,반려동물출입,비수기_평일_가격,비수기_주말_가격,성수기_평일_가격,성수기_주말_가격,naver_id,states
4883,영주시 여우골 야영장,경상북도 영주시 순흥면 죽계로293번길 16,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,마트.편의점","계곡 물놀이,산책로,운동장,낚시,강/물놀이,수영장,청소년체험시설,농어촌체험시설,어린이놀이시설","일출명소,일몰명소,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",불가능,50000,65000,75000,90000,2093050935,운영중
4884,그때 그 캠핑장,경기도 가평군 조종면 명지산로 23,개별,"전기,장작판매,산책로,마트.편의점","계곡 물놀이,강/물놀이",정보없음,가능(소형견),35000,46000,52000,63000,2037435463,운영중
4885,광백레이크 캠핑장,경기도 양주시 백석읍 부흥로 1013-352,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2047656557,운영중
4886,배방 알프스,충청남도 아산시 배방읍 고불로231번길 38,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,NOT_FOUND,휴업
4887,NATURE80,경상북도 칠곡군 지천면 신동재로 80,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,1248246203,운영중
4888,옥돌캠핑장,경상남도 거제시 일운면 옥림길 135,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2092090019,운영중
4889,하냥살이 낙화놀이,충청남도 부여군 양화면 충절로 267-6,개별,"전기,장작판매,온수,놀이터,산책로,운동장","산책로,운동장,수상레저,낚시,해수욕,청소년체험시설,농어촌체험시설,어린이놀이시설","수상레저,낚시,봄꽃여행,걷기길",가능,40000,52000,60000,72000,2147161317,운영중
4890,캠프 스테이,경상북도 청도군 매전면 온장길 250-40,개별,"전기,무선인터넷,장작판매,트렘폴린,물놀이장,놀이터,산책로,마트.편의점","산책로,낚시","일몰명소,겨울눈꽃명소",불가능,45000,58000,68000,81000,2005851754,운영중
4891,수산포레스트 야영장(바베큐장),경기도 남동구 덕골로 154 (수산동),정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2097882182,운영중
4892,팔꽁이 야영장,경상북도 군위군 부계면 한티로 1570-2,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,NOT_FOUND,휴업
4893,하우스플레이랩,경기도 안성시 보개면 보삼로 120-3,개별,무선인터넷,"운동장,수영장",정보없음,가능,45000,58000,68000,81000,1916388380,운영중
4894,노을글램핑장,경기도 파주시 탄현면 새오리로 167-19,정보없음,정보없음,정보없음,정보없음,정보없음,95000,124000,142000,171000,1293692868,운영중
4895,글로우글램핑,경기도 파주시 탄현면 새오리로 167-19,정보없음,정보없음,정보없음,정보없음,정보없음,100000,130000,150000,180000,NOT_FOUND,휴업
4896,(중복) 화진포 솥밭 야영장,강원도 고성군 현내면 화진포길 412,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,NOT_FOUND,휴업
4897,주식회사 숲속의 달팽이,전라남도 영암군 학산면 영산로 652,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2056763292,운영중
4898,별빛대가야캠핑장,경상북도 고령군 쌍림면 산주1길 77,개별,"무선인터넷,온수,물놀이장,운동장","계곡 물놀이,수영장","일출명소,일몰명소,봄꽃여행,여름물놀이,가을단풍명소",불가능,45000,58000,68000,81000,NOT_FOUND,휴업
4899,경주 글램핑 플레이스씨,경상북도 경주시 국당2길 12-12 (사정동),개별,"전기,무선인터넷,장작판매,산책로,마트.편의점",산책로,정보없음,불가능,105000,136000,158000,189000,2026524347,운영중
4900,바다캠프,경상북도 울진군 매화면 오산항길 59,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1071748096,운영중
4901,임진강 햇살 글램핑,경기도 연천군 장남면 장백로330번길 46-95,정보없음,정보없음,정보없음,정보없음,정보없음,95000,124000,142000,171000,2030128457,운영중
4902,여우별 캠핑장,경기도 연천군 미산면 마동로196번길 77-44,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트.편의점",수영장,"일몰명소,여름물놀이",가능(소형견),55000,72000,82000,99000,2049093748,운영중
4903,몽지리 캠핑장,강원도 평창군 미탄면 청옥산길 249-21,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,2093451871,운영중
